timestamp,account,issuer,currency,value
2019-01-08T01:46:00+00:00,rpvb8Cew7q9s6PgxjK32yHSkKcN2c1dR6L,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,USD,1000000000
2019-01-08T01:46:00+00:00,rapQutmswrxzGttq9pg4d1TaUVecNUo4JE,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,USD,1000000000
2019-01-08T01:55:11+00:00,rJKkvjmVBS8VSf4yAFAkhPLbKV1cgVdZsC,rQay7bQ3XoZcT6E3c8uDopZdnWaMBxWea2,USD,0
2019-01-08T01:59:10+00:00,rnJR4ShZMCcQR862jSsSFn5A8RgEy2awQx,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,USD,1000000000
2019-01-08T01:59:30+00:00,rapQutmswrxzGttq9pg4d1TaUVecNUo4JE,rcoef87SYMJ58NAFx7fNM5frVknmvHsvJ,XAU,1000000000
2019-01-08T01:59:30+00:00,rpvb8Cew7q9s6PgxjK32yHSkKcN2c1dR6L,rcoef87SYMJ58NAFx7fNM5frVknmvHsvJ,XAU,1000000000
2019-01-08T01:59:31+00:00,rJKkvjmVBS8VSf4yAFAkhPLbKV1cgVdZsC,rMwjYedjc7qqtKYVLiAccJSmCwih4LnE2q,USD,0
2019-01-08T02:00:22+00:00,rJKkvjmVBS8VSf4yAFAkhPLbKV1cgVdZsC,r3kmLJN5D28dHuH8vZNUZpMC43pEHpaocV,USD,0
2019-01-08T02:01:51+00:00,rnJR4ShZMCcQR862jSsSFn5A8RgEy2awQx,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,EUR,0
2019-01-08T02:02:32+00:00,rJKkvjmVBS8VSf4yAFAkhPLbKV1cgVdZsC,r9K9FfmRM85yw3HT96LB6TSfxC3BewbkSr,USD,0
2019-01-08T02:03:31+00:00,rJKkvjmVBS8VSf4yAFAkhPLbKV1cgVdZsC,rLkMJhSVwhmummLjJPVrwQRZZYiYQhVQ1A,USD,0
2019-01-08T02:04:21+00:00,rJKkvjmVBS8VSf4yAFAkhPLbKV1cgVdZsC,rPRuysDxGUiqnMmTZoAihXijcwPnP1r64U,USD,0
2019-01-08T02:06:11+00:00,rnJR4ShZMCcQR862jSsSFn5A8RgEy2awQx,rcA8X3TVMST1n3CJeAdGk1RdRCHii7N2h,ETH,1000000000
2019-01-08T02:31:00+00:00,rMSJtYrzHvfgb9m8awqKQh4q3fpdbQCKNU,raujtsGHt5u8pv23VWFbhxhpJKHYmzp376,CNY,100000000
2019-01-08T02:54:51+00:00,rgFfuF9aMtZvGkmGogGbbY6X7Jdbe2KiR,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,USD,1000000000
2019-01-08T03:01:01+00:00,r33amka4UauspE6PfRBVmHHzu3X5o3vMhJ,rPT74sUcTBTQhkHVD54WGncoqXEAMYbmH7,CNY,100000000
2019-01-08T03:14:30+00:00,rwTgG35yqw7o1t1Wirk85ESfQULDfS4Qv3,rKiCet8SdvWxPXnAgYarFUXMh1zCPz432Y,ULT,1000000000
2019-01-08T03:16:52+00:00,raujtsGHt5u8pv23VWFbhxhpJKHYmzp376,rLNpG27Dm1TebYJLANeaYUQiQdCwBsdzn2,CNY,0
2019-01-08T03:42:00+00:00,rDiBYXT1pauTeW18NzuMHcTtZuTX9wSp1r,rcA8X3TVMST1n3CJeAdGk1RdRCHii7N2h,ETH,1000000000
2019-01-08T03:42:01+00:00,rDiBYXT1pauTeW18NzuMHcTtZuTX9wSp1r,rcA8X3TVMST1n3CJeAdGk1RdRCHii7N2h,ETH,1000000000
